username,count,dates,range,mean
tonypeacock-1,53,"[2019, 2019, 2018, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2017, 2019, 2020, 2019, 2020, 2019, 2019, 2018, 2019, 2020, 2018, 2020, 2017, 2018, 2019, 2020, 2019, 2019, 2020, 2020, 2019, 2019, 2019, 2020, 2020, 2020, 2020, 2020, 2019, 2017, 2020, 2020, 2019, 2019, 2020, 2020, 2019, 2019, 2020, 2019, 2017, 2018, 2020, 2020, 2019, 2019, 2019, 2015, 2019]",5,2019
valleyjohn,92,"[2016, 2011, 2016, 2011, 2017, 2015, 2011, 2011, 2018, 2017, 2011, 2016, 2015, 2018, 2011, 2011, 2011, 2015, 2009, 2015, 2011, 2018, 2016, 2020, 2011, 2016, 2011, 2011, 2010, 2011, 2017, 2009, 2015, 2015, 2011, 2020, 2015, 2011, 2009, 2016, 2017, 2016, 2011, 2011, 2017, 2010, 2017, 2016, 2015, 2011, 2015, 2015, 2011, 2015, 2012, 2009, 2011, 2015, 2012, 2011, 2009, 2011, 2008, 2008, 2011, 2016, 2015, 2009, 2016, 2011, 2015, 2017, 2011, 2016, 2009, 2015, 2015, 2008, 2011, 2011, 2012, 2010, 2016, 2009, 2020, 2009, 2016, 2011, 2009, 2016, 2020, 2011, 2015, 2011, 2016, 2011, 2011, 2016, 2018, 2010, 2020, 2011, 2010, 2011, 2016, 2009, 2018, 2012, 2011, 2008, 2009, 2009, 2015, 2011, 2010, 2011, 2008, 2012, 2018, 2009, 2016, 2020]",12,2013
Rectangular_businessman,66,"[2010, 2012, 2010, 2010, 2007, 2010, 2010, 2010, 2012, 2010, 2010, 2010, 2012, 2011, 2007, 2012, 2007, 2013, 2010, 2010, 2010, 2010, 2010, 2016, 2010, 2010, 2007, 2007, 2012, 2014, 2007, 2012, 2010, 2007, 2010, 2010, 2012, 2013, 2010, 2012, 2012, 2010, 2010, 2011, 2010, 2010, 2007, 2011, 2012, 2007, 2010, 2010, 2012, 2012, 2007, 2007, 2018, 2010, 2012, 2010, 2010, 2010, 2010, 2011, 2010, 2007, 2012, 2013, 2012, 2012, 2012, 2012, 2010, 2010, 2012, 2012, 2020, 2018, 2010, 2010, 2012, 2012, 2011, 2012, 2007, 2013, 2010, 2012, 2012, 2010, 2012, 2010, 2007, 2010, 2019, 2010, 2007, 2012, 2012, 2007, 2012, 2010, 2010, 2014, 2010, 2010, 2007, 2010, 2010, 2010, 2011, 2012, 2010, 2012, 2010, 2010, 2010, 2007]",13,2010
Turfseer,131,"[2018, 2013, 2011, 2020, 2010, 2012, 2008, 2013, 2010, 2012, 2018, 2007, 2014, 2015, 2010, 2013, 2016, 2008, 2009, 2016, 2013, 2014, 2014, 2015, 2018, 2011, 2018, 2019, 2012, 2015, 2017, 2014, 2008, 2007, 2019, 2010, 2016, 2009, 2010, 2011, 2015, 2014, 2018, 2017, 2009, 2010, 2013, 2014, 2012, 2017, 2011, 2014, 2014, 2015, 2017, 2017, 2019, 2012, 2019, 2009, 2015, 2012, 2013, 2017, 2014, 2009, 2013, 2018, 2017, 2016, 2014, 2018, 2017, 2012, 2012, 2007, 2010, 2017, 2014, 2011, 2011, 2009, 2014, 2015, 2014, 2009, 2008, 2017, 2019, 2017, 2014, 2020, 2019, 2016, 2008, 2010, 2009, 2009, 2019, 2011, 2017, 2012, 2013, 2012, 2016, 2014, 2012, 2016, 2015, 2016, 2013, 2019, 2011, 2012, 2009, 2018, 2012, 2010, 2013, 2015, 2008, 2013, 2019, 2013, 2019, 2016, 2008, 2013, 2014, 2012, 2010, 2008, 2018, 2009, 2011, 2019, 2016, 2013, 2011, 2015, 2010, 2010, 2016, 2013, 2012, 2008, 2016, 2012, 2015, 2015, 2009, 2013, 2016, 2015, 2016, 2020, 2016, 2011, 2011, 2013, 2012, 2016, 2010, 2009, 2009, 2008, 2015, 2010, 2018, 2009, 2018, 2011, 2012, 2015, 2013, 2010, 2012, 2009, 2012, 2015, 2020, 2011, 2017, 2015, 2014, 2017, 2009, 2012, 2009, 2010, 2009, 2016, 2014, 2018, 2011, 2015, 2011, 2010, 2017, 2014, 2009, 2010, 2008, 2017, 2014, 2010, 2010, 2015, 2009, 2010, 2009, 2009, 2008, 2008, 2014, 2011, 2015, 2018, 2015, 2013, 2010, 2017]",13,2013
theshadow908,82,"[2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2007, 2007, 2007, 2006, 2006, 2007, 2006, 2006, 2007, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2008, 2006, 2006, 2007, 2006, 2006, 2006, 2006, 2007, 2006, 2006, 2006, 2006, 2006, 2007, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2007, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006]",2,2006
zlx_zjlq,59,"[2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020]",0,2020
bankofmarquis,58,"[2016, 2018, 2020, 2018, 2018, 2018, 2019, 2020, 2017, 2017, 2015, 2018, 2019, 2016, 2015, 2019, 2017, 2018, 2018, 2016, 2019, 2014, 2018, 2017, 2018, 2015, 2018, 2016, 2015, 2018, 2019, 2019, 2019, 2019, 2018, 2020, 2017, 2018, 2016, 2016, 2017, 2014, 2020, 2014, 2015, 2016, 2020, 2019, 2015, 2014, 2017, 2020, 2014, 2018, 2016, 2017, 2016, 2016, 2014, 2014, 2018, 2017, 2018, 2018, 2018, 2015, 2020, 2014, 2018, 2017, 2019, 2017, 2015, 2017, 2020, 2019, 2016, 2017, 2020, 2017, 2017, 2017, 2017, 2017, 2020, 2018, 2020, 2018, 2017, 2020, 2018, 2017, 2016, 2019, 2019, 2016, 2015, 2017, 2016, 2018, 2015, 2018, 2020, 2019, 2016, 2016, 2015, 2018, 2016, 2015, 2017, 2018, 2014, 2019, 2017, 2016, 2016, 2016, 2014, 2020, 2020, 2014, 2016, 2018, 2018, 2017, 2019, 2016, 2017, 2019, 2018, 2016, 2014, 2015, 2019, 2019, 2015, 2016, 2018, 2016, 2017, 2017, 2015, 2016, 2017, 2017, 2018, 2019, 2019, 2018, 2015, 2017, 2017, 2018, 2016]",6,2017
RhapsodyReviews,290,"[2019, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2020, 2019, 2019, 2019, 2020, 2019, 2020, 2020, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2020, 2020, 2019, 2019, 2020, 2020, 2019, 2019]",1,2019
imseeg,62,"[2020, 2019, 2019, 2018, 2018, 2019, 2018, 2018, 2018, 2020, 2018, 2019, 2020, 2020, 2018, 2019, 2020, 2019, 2019, 2018, 2020, 2020, 2019, 2019, 2018, 2020, 2020, 2018, 2018, 2020, 2020, 2020, 2019, 2018, 2019, 2018, 2018, 2019, 2018, 2018, 2019, 2019, 2020, 2019, 2019, 2018, 2018, 2018, 2019, 2018, 2018, 2019, 2018, 2018, 2018, 2019, 2018, 2020, 2019, 2018, 2019, 2020, 2019, 2019, 2019, 2020, 2019, 2018, 2018, 2018, 2020, 2018, 2018, 2019, 2018, 2020, 2018, 2018, 2020, 2018, 2018, 2018, 2020, 2018, 2019, 2020, 2019, 2019, 2018, 2019, 2018, 2018, 2018, 2020, 2020, 2020, 2018, 2020, 2019, 2019, 2018, 2018, 2019, 2019, 2018, 2020, 2019, 2019, 2018, 2019, 2018, 2018, 2020, 2020, 2019, 2018, 2019, 2018, 2018, 2020, 2020, 2019, 2018, 2018, 2018, 2020, 2020, 2019, 2018, 2018, 2018, 2020, 2018, 2019, 2019, 2018, 2018, 2020, 2018, 2019, 2019, 2019, 2020, 2019, 2018, 2018, 2018, 2018, 2019, 2019, 2018, 2019, 2018, 2018, 2020, 2019, 2019, 2020, 2018, 2019, 2019, 2019, 2019, 2018, 2020, 2020, 2020, 2018, 2020, 2020, 2019, 2019, 2019, 2018, 2018, 2018, 2019, 2018, 2019, 2018, 2020, 2018, 2020, 2019, 2018, 2019, 2018, 2018, 2019, 2018, 2019, 2018, 2018, 2019, 2020, 2018]",2,2018
departed07,80,"[2008, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2004, 2008, 2003, 2003, 2005, 2003, 2005, 2003, 2008, 2003, 2007, 2008, 2008, 2005, 2008, 2008, 2008, 2003, 2008, 2008, 2003, 2008, 2005, 2005, 2005, 2003, 2005, 2003, 2003, 2008, 2003, 2009, 2008, 2004, 2008, 2005, 2007, 2005, 2008, 2008, 2008, 2008, 2003, 2003, 2005, 2005, 2008, 2005, 2003, 2008, 2005, 2008, 2004, 2008, 2004, 2008, 2008, 2008, 2003, 2003, 2008, 2003, 2005, 2008, 2005, 2008, 2008, 2007, 2008, 2003, 2005, 2008, 2004, 2005, 2008, 2005, 2008, 2008, 2008, 2004, 2003, 2007, 2003, 2005, 2005, 2003, 2005, 2005, 2003, 2003, 2008, 2008, 2008, 2008, 2003, 2008, 2008, 2003, 2007, 2008, 2008, 2003, 2003, 2003, 2003, 2003, 2008, 2004, 2008, 2005, 2008, 2003, 2008, 2008, 2008, 2008, 2008, 2003, 2008, 2005, 2008, 2004, 2008, 2008, 2008, 2008, 2009, 2008, 2003, 2009, 2006, 2003]",6,2006
cat_ranchero,83,"[2013, 2013, 2013, 2012, 2013, 2013, 2013, 2012, 2012, 2013, 2012, 2013, 2012, 2012, 2012, 2012, 2013, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2012, 2013, 2012, 2012, 2013, 2013, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2012, 2012, 2013, 2012, 2012, 2013, 2012, 2013, 2012, 2012, 2013, 2012, 2012, 2013, 2012, 2012, 2012, 2013, 2012, 2013, 2013, 2012, 2012, 2013, 2013, 2012, 2012, 2013, 2012, 2012, 2012, 2013, 2012, 2012, 2013, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2012]",1,2012
Darkside-Reviewer,199,"[2019, 2019, 2019, 2019, 2019, 2019, 2020, 2020, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2020, 2019, 2019, 2019, 2020, 2019, 2020, 2020, 2020, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2019, 2020, 2019, 2019, 2020, 2020, 2020, 2020, 2019, 2019, 2020, 2020, 2020, 2019, 2020, 2019, 2019, 2019, 2019, 2020, 2019, 2019, 2020, 2019, 2019, 2020, 2020]",1,2019
DarkVulcan29,71,"[2016, 2018, 2009, 2008, 2012, 2014, 2007, 2013, 2009, 2018, 2019, 2010, 2017, 2015, 2018, 2012, 2016, 2009, 2015, 2019, 2018, 2017, 2011, 2005, 2016, 2017, 2014, 2018, 2014, 2015, 2018, 2007, 2018, 2017, 2007, 2018, 2012, 2011, 2015, 2008, 2016, 2011, 2014, 2019, 2013, 2006, 2010, 2006, 2012, 2005, 2011, 2015, 2018, 2012, 2018, 2016, 2010, 2016, 2006, 2010, 2016, 2013, 2016, 2014, 2011, 2017, 2010, 2014, 2013, 2013, 2008, 2016, 2005, 2013, 2011, 2018, 2012, 2011, 2019, 2013, 2015, 2014, 2010, 2017, 2007, 2006, 2014, 2014, 2013, 2007, 2014, 2017, 2016, 2008, 2012, 2017, 2011, 2007, 2012, 2011, 2009, 2014, 2011, 2010, 2018, 2009, 2015, 2014, 2009, 2006, 2010, 2008, 2013, 2017, 2019, 2012, 2014, 2014, 2017, 2019, 2008, 2015, 2011, 2017, 2015, 2019, 2017, 2012, 2012, 2011, 2012, 2017, 2012, 2014, 2015, 2013, 2016, 2010, 2012, 2011, 2019, 2014, 2011, 2011, 2009, 2009, 2017, 2007, 2008, 2008, 2011, 2014, 2013, 2013, 2019, 2013, 2008, 2009, 2006, 2011, 2010, 2012, 2009, 2008, 2005, 2018, 2010, 2010, 2012, 2011, 2016, 2013, 2010, 2016, 2013, 2006, 2010, 2009, 2011, 2007, 2010, 2010, 2005, 2012, 2011, 2015, 2008, 2017, 2018, 2017, 2009, 2013, 2019, 2015, 2017, 2006, 2008, 2008, 2006, 2011, 2016, 2016, 2011, 2012, 2010, 2012, 2009, 2006, 2011, 2011, 2014, 2012, 2012, 2009, 2012, 2013, 2008, 2012, 2006, 2017, 2014, 2012, 2010, 2016, 2006, 2013, 2009, 2011, 2013, 2015, 2012, 2014, 2013, 2006, 2012, 2013, 2014, 2008, 2005, 2019, 2010, 2014, 2019, 2005, 2015, 2014, 2009, 2014, 2016, 2008, 2016, 2010, 2009, 2010, 2009, 2013, 2013, 2011, 2017, 2013, 2012, 2010, 2019, 2011, 2009, 2008, 2012, 2008, 2012, 2011, 2009, 2019, 2006, 2008, 2016, 2017, 2016, 2013, 2011, 2009, 2017, 2012, 2009, 2016, 2014, 2011, 2006, 2019, 2007, 2009]",14,2012
Theo Robertson,117,"[2003, 2015, 2011, 2005, 2004, 2007, 2008, 2011, 2005, 2003, 2004, 2002, 2003, 2003, 2003, 2003, 2017, 2004, 2012, 2003, 2012, 2003, 2005, 2015, 2004, 2003, 2005, 2003, 2016, 2012, 2012, 2015, 2010, 2007, 2015, 2005, 2015, 2003, 2015, 2011, 2003, 2004, 2003, 2014, 2007, 2002, 2015, 2008, 2014, 2002, 2009, 2006, 2005, 2012, 2009, 2011, 2005, 2010, 2004, 2003, 2007, 2015, 2002, 2004, 2014, 2008, 2004, 2003, 2012, 2015, 2004, 2004, 2012, 2015, 2005, 2005, 2005, 2005, 2008, 2003, 2005, 2003, 2017, 2005, 2004, 2002, 2002, 2015, 2015, 2003, 2010, 2003, 2005, 2003, 2015, 2014, 2003, 2002, 2015, 2015, 2005, 2017, 2002, 2013, 2015, 2015, 2003, 2004, 2003, 2014, 2015, 2010, 2015, 2017, 2017, 2014, 2003, 2003, 2002, 2003, 2013, 2013, 2013, 2009, 2002, 2015, 2005, 2005, 2014, 2015, 2013, 2015, 2011, 2005, 2004, 2015, 2017, 2004, 2015, 2005, 2013, 2015, 2014, 2017, 2003, 2017, 2013, 2015, 2015, 2003, 2004, 2017, 2004, 2013, 2017, 2010, 2003, 2015, 2013, 2015, 2013, 2014, 2003, 2002, 2002, 2004, 2003, 2002, 2003, 2010, 2009, 2004, 2017, 2003, 2009, 2015, 2011, 2004, 2008, 2010, 2015, 2014, 2016, 2005, 2002, 2005, 2003, 2002, 2003, 2003, 2015, 2013, 2008, 2005, 2002, 2005, 2013, 2009, 2004, 2005, 2014, 2004, 2004, 2016, 2005, 2003, 2015, 2013, 2005, 2002, 2013, 2010, 2003, 2005, 2003, 2013, 2005, 2013, 2012, 2011, 2005, 2017, 2013, 2012, 2004, 2009, 2002, 2013, 2005, 2005, 2015, 2012, 2017, 2015, 2012, 2013, 2002, 2004, 2013, 2013, 2015, 2003, 2002, 2009, 2011, 2004, 2014, 2014, 2014, 2012, 2007, 2010, 2002, 2002, 2004, 2002, 2007, 2010, 2005, 2005, 2013, 2015, 2008, 2004, 2007, 2007, 2010, 2017, 2015, 2005, 2003, 2014, 2012, 2004, 2003, 2005, 2013, 2014, 2005, 2007, 2009, 2005, 2015, 2005, 2002, 2011, 2015, 2010, 2012, 2014, 2013, 2012, 2005, 2011, 2005, 2015, 2013, 2002, 2011, 2007, 2003, 2004, 2002, 2004, 2003, 2004, 2003, 2015, 2003, 2010, 2010, 2015, 2011, 2015, 2003, 2003, 2005, 2010, 2009, 2005, 2015, 2015, 2003, 2004, 2005, 2005, 2003, 2013, 2002, 2015, 2003, 2002, 2010, 2005, 2004, 2003, 2005, 2009, 2014, 2014, 2010, 2003, 2003, 2004, 2003, 2013, 2002, 2008, 2004, 2003, 2004, 2012, 2014, 2014, 2003, 2015, 2012, 2004, 2002, 2008, 2003, 2003, 2015, 2013, 2003, 2012, 2003, 2015]",15,2008
suri_ramneek-2,82,"[2019, 2019, 2019, 2019, 2019, 2019, 2019, 2017, 2019, 2019, 2019, 2019, 2019, 2019, 2017, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2017, 2019, 2019, 2017, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2017, 2017, 2019, 2019, 2019, 2019, 2019]",2,2018
bryanbezter,354,"[2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020]",0,2020
marcus_stokes2000,164,"[2007, 2007, 2006, 2006, 2007, 2006, 2006, 2006, 2006, 2006, 2007, 2006, 2007, 2006, 2008, 2007, 2006, 2006, 2006, 2007, 2006, 2006, 2006, 2007, 2007, 2006, 2007, 2007, 2007, 2006, 2006, 2007, 2007, 2006, 2007, 2007, 2007, 2006, 2006, 2007, 2006, 2007, 2007, 2006, 2006, 2006, 2007, 2007, 2007, 2006, 2007, 2007, 2006, 2006, 2007, 2007]",2,2006
aidanratesmovies,69,"[2020, 2020, 2020, 2020, 2020, 2020, 2019, 2020, 2019, 2020, 2019, 2020, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2019, 2019, 2020, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2019, 2020, 2019, 2020, 2020, 2019, 2020, 2020, 2019, 2020, 2019, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2020, 2020, 2019, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2020, 2020, 2020, 2019, 2019]",1,2019
Jerghal,80,"[2014, 2016, 2014, 2014, 2015, 2015, 2014, 2015, 2013, 2016, 2016, 2016, 2014, 2014, 2013, 2014, 2013, 2015, 2014, 2015, 2013, 2013, 2015, 2014, 2015, 2013, 2013, 2014, 2014, 2015, 2015, 2013, 2013, 2014, 2015, 2015, 2016, 2014, 2016, 2014, 2016, 2013, 2016, 2016, 2014, 2014, 2015, 2015, 2013, 2016, 2014, 2014, 2013, 2014, 2013, 2016, 2015, 2014]",3,2014
Mr_Sensitive,80,"[2003, 2005, 2008, 2005, 2006, 2011, 2002, 2008, 2005, 2005, 2007, 2006, 2005, 2008, 2003, 2011, 2005, 2006, 2003, 2010, 2007, 2005, 2003, 2006, 2005, 2013, 2006, 2006, 2005, 2005, 2007, 2005, 2013, 2003, 2006, 2013, 2006, 2013, 2006, 2008, 2007, 2013, 2005, 2011, 2005, 2007, 2006, 2006, 2005, 2005, 2013, 2005, 2003, 2013, 2005, 2005, 2007, 2006, 2008, 2003, 2013, 2003, 2007, 2006, 2010, 2012, 2005, 2010, 2005, 2007, 2005, 2005, 2013, 2006, 2003, 2003, 2005, 2010, 2011, 2011, 2009, 2006, 2005, 2006, 2003, 2005, 2005, 2005, 2005, 2008, 2002, 2003, 2003, 2008, 2006, 2005, 2005, 2003, 2008, 2003, 2011, 2012, 2005, 2002, 2005, 2002, 2013, 2011, 2011, 2006, 2009, 2006, 2005, 2006, 2013, 2006, 2003]",11,2006
generationofswine,58,"[2017, 2017, 2016, 2019, 2019, 2018, 2018, 2019, 2018, 2018, 2016, 2016, 2016, 2018, 2016, 2019, 2018, 2018, 2020, 2016, 2016, 2019, 2017, 2017, 2018, 2020, 2016, 2016, 2018, 2018, 2016, 2010, 2016, 2016, 2016, 2016, 2019, 2019, 2019, 2019, 2020, 2018, 2017, 2020, 2013, 2016, 2019, 2016, 2016, 2016, 2016, 2016, 2013, 2013, 2019, 2018, 2017, 2016, 2016, 2018, 2020, 2018, 2016, 2018, 2016, 2020, 2017, 2017, 2017, 2016, 2016, 2017, 2018, 2016, 2016, 2016, 2016, 2019, 2016, 2011, 2019, 2010, 2018, 2019, 2017, 2017, 2019, 2016, 2019, 2017, 2011, 2016, 2019, 2019, 2017, 2017, 2017, 2018, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2017, 2016, 2017, 2019, 2016, 2019, 2018, 2016, 2016, 2017, 2018, 2017, 2017, 2016, 2018, 2019, 2009, 2019, 2019, 2019, 2016, 2012, 2016, 2017, 2017, 2017, 2009, 2016, 2016, 2017, 2016, 2016, 2016, 2018, 2017, 2016, 2017, 2016, 2016, 2017, 2018, 2019, 2020, 2016, 2016, 2011, 2017, 2018, 2019, 2020, 2016, 2016, 2017, 2019, 2016, 2019, 2017, 2018, 2016, 2016, 2016, 2016, 2016, 2016, 2016]",11,2016
chrisbrown6453,252,"[2002, 2002, 2001, 2001, 2001, 2000, 2000, 2000, 2002, 2000, 2001, 2002, 2000, 2001, 2001, 2001, 2002, 2001, 2001, 2000, 2001, 2002, 2001, 2002, 2002, 2002, 2001, 2001, 2002, 2002, 2002, 2002, 2001, 2002, 2002, 2002, 2001, 2002, 2002, 2000, 2002, 2001, 2001, 2002, 2002, 2001, 2002, 2001, 2002, 2002, 2001, 2000, 2002, 2000, 2002, 2002, 2002, 2001, 2002, 2002, 2000, 2002, 2001, 2002, 2002, 2001, 2000, 2001, 2002, 2002, 2000, 2002, 2002, 2001, 2002, 2001, 2000, 2002, 2000, 2000, 2002, 2002, 2002, 2001, 2000, 2000, 2002, 2002, 2001, 2002, 2002, 2002, 2000]",2,2001
film_riot,266,"[2006, 2007, 2007, 2007, 2007, 2007, 2007, 2006, 2006, 2006, 2007, 2007, 2007, 2007, 2007, 2006, 2007, 2007, 2007, 2006, 2007, 2007, 2007, 2007, 2006, 2006, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2007, 2006, 2007, 2007, 2007, 2007, 2007, 2007, 2006, 2008, 2007, 2007, 2007, 2007]",2,2006
Pavel-8,56,"[2005, 2004, 2004, 2003, 2003, 2006, 2003, 2004, 2004, 2005, 2004, 2007, 2005, 2004, 2007, 2006, 2005, 2007, 2004, 2004, 2007, 2006, 2008, 2006, 2007, 2004, 2003, 2005, 2003, 2006, 2003, 2005, 2006, 2004, 2007, 2007, 2005, 2007, 2003, 2007, 2004, 2007, 2005, 2004, 2007, 2005, 2006, 2003, 2004, 2004, 2007, 2005, 2004, 2006, 2003, 2005, 2005, 2004, 2003, 2003, 2003, 2003, 2004, 2007, 2006, 2005, 2004, 2007, 2006, 2004, 2005, 2006, 2003]",5,2004
dave-mcclain,66,"[2016, 2018, 2015, 2016, 2018, 2017, 2015, 2018, 2016, 2016, 2017, 2018, 2017, 2015, 2016, 2015, 2015, 2015, 2015, 2018, 2016, 2016, 2017, 2016, 2015, 2017, 2016, 2016, 2017, 2016, 2015, 2017, 2016, 2016, 2017, 2015, 2017, 2016, 2017, 2015, 2017, 2016, 2015, 2017, 2016, 2017, 2015, 2016, 2017, 2016, 2017, 2015, 2015, 2018, 2016, 2015, 2017, 2016, 2016, 2016, 2015, 2017, 2015, 2015, 2016, 2015, 2015, 2015, 2018, 2016, 2016, 2017, 2016, 2016, 2016, 2016, 2017, 2016, 2017, 2015, 2016]",3,2016
jpschapira,187,"[2011, 2007, 2006, 2010, 2008, 2005, 2008, 2008, 2008, 2005, 2005, 2009, 2007, 2008, 2007, 2006, 2008, 2007, 2005, 2007, 2006, 2005, 2005, 2005, 2006, 2007, 2005, 2008, 2005, 2007, 2008, 2005, 2005, 2008, 2009, 2005, 2005, 2008, 2005, 2009, 2011, 2007, 2005, 2005, 2006, 2007, 2010, 2007, 2009, 2007, 2008, 2005, 2007, 2007, 2007, 2007, 2005, 2005, 2007, 2008, 2005, 2006, 2005, 2007, 2005, 2006, 2007, 2005, 2007, 2008, 2008, 2007, 2007, 2006, 2009, 2006, 2009, 2005, 2005, 2010, 2005, 2009, 2005, 2008, 2007, 2008, 2009, 2008, 2005, 2005, 2008, 2005, 2005, 2006, 2005, 2009, 2006, 2008, 2005, 2007, 2006, 2007, 2005, 2008, 2007, 2007, 2005, 2007, 2005, 2007, 2007, 2007, 2008, 2007, 2009, 2010, 2010, 2008, 2008, 2008, 2009, 2006, 2009, 2010, 2006, 2005, 2005, 2005, 2010, 2006, 2007]",6,2006
fjhuerta-2,128,"[2001, 2005, 2002, 2001, 2009, 2005, 2000, 2016, 2003, 2000, 2000, 2012, 2005, 2001, 2002, 2001, 2011, 2008, 2001, 2005, 2000, 2017, 2006, 2001, 2002, 2001, 2001, 2008, 2008, 2003, 2003, 2011, 2008, 2000, 2000, 2015, 2002, 2005, 2013, 2002, 2001, 2002, 2001, 2001, 2001, 2002, 2001, 2016, 2001, 2005, 2001, 2001, 2001, 2002, 2003, 2000, 2002, 2005, 2000, 2019, 2015, 2010, 2000, 2000, 2001, 2002, 2008, 2001, 2000, 2015, 2005, 2002, 2000, 2003, 2003, 2001, 2000, 2000, 2001, 1999, 2010, 2001, 2009, 2006, 2008, 2012, 2000]",20,2004
Chuck-149,58,"[1999, 1999, 1999, 2000, 2000, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 2000, 2000, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 2000, 1999, 1999, 2000, 2000, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999, 2000, 1999, 1999, 1999, 1999, 1999, 1999]",1,1999
freshclean-66-318608,125,"[2016, 2016, 2015, 2013, 2016, 2015, 2016, 2016, 2016, 2016, 2016, 2017, 2015, 2016, 2015, 2013, 2015, 2015, 2015, 2017, 2015, 2015, 2015, 2016, 2015, 2015, 2015, 2016, 2015, 2016, 2016, 2015, 2016, 2017, 2016, 2016, 2016, 2015, 2017, 2017, 2016, 2017, 2015, 2015, 2012, 2015, 2015, 2016, 2016, 2015, 2016, 2015, 2015, 2016]",5,2015
