username,count,range,mean_year
colinrgeorge,68,720,2010
sarastro7,72,5058,2006
kevin_crighton,52,2682,2007
msbreviews,90,1011,2017
elcopy,59,7364,2003
gwnightscream,216,2987,2014
jhclues,85,1846,2001
The Grand Master,76,6057,2015
jdkraus,244,4709,2009
freewillyfan,57,51,2019
Buddy-51,423,6485,2007
bluesman-20,87,2862,2010
elliotjeory,55,772,2018
esteban1747,71,6677,2004
Sylviastel,172,7873,2010
Bunuel1976,117,4802,2008
FilmMan47,89,3308,2014
Kdosda_Hegen,182,271,2019
Chalice_Of_Evil,69,4906,2012
jburtroald95,57,1746,2010
djurrepower,58,222,2019
=G=,129,1833,2002
kluseba,114,3743,2014
rajdoctor,91,4809,2008
datautisticgamer-74853,52,1163,2016
ofpsmith,96,2375,2015
oneloveall,108,762,2006
blackmamba99971,86,4084,2011
bravesfanc,54,1519,2014
lotus_chief,63,6158,2004
PartialMovieViewer,107,3627,2014
Sergeant_Tibbs,149,3200,2013
CineCritic2517,56,3753,2010
CountZero313,70,3186,2009
CharltonBoy,115,1721,2001
fertilecelluloid,70,1883,2006
samyaksambuddha,73,432,2018
Jared_Andrews,50,1976,2017
A_Different_Drummer,149,1467,2014
The_Void,165,2142,2005
blacklist-1,80,1598,2010
harryplinkett14,88,2910,2016
mat-mcnaughton-254-33257,53,199,2012
elicopperman,54,965,2018
tomgillespie2002,319,3004,2014
Howlin Wolf,142,6156,2005
CMTiago,86,895,2014
markgorman,113,5382,2013
GeorgeRoots,129,762,2013
theinaniloquent,115,226,2011
ElijahCSkuggs,54,2250,2007
truemythmedia,174,597,2019
Johnny-the-Film-Sentinel-2187,180,3467,2016
runamokprods,65,2482,2012
paul-allaer,95,2006,2017
basrutten,92,3657,2004
ciscokid1970,60,1952,2008
rainking_es,73,1391,2005
rmax304823,383,6401,2009
tomsview,69,2731,2014
osj2507,109,964,2015
James_De_Bello,104,967,2015
axlrhodes,73,3609,2009
krational66,133,62,2020
Eternality,99,353,2010
Aaron1375,266,6833,2008
funtasticfour,94,879,2018
michael_the_nermal,53,4255,2009
robert-710-767167,78,683,2010
ericstevenson,92,1368,2017
Offworld_Colony,129,5381,2019
maurice_yacowar,84,2646,2015
supertom-3,104,3516,2003
AKS-6,89,2194,2000
mOVIemAN56,112,1584,2005
AlsExGal,110,3888,2015
WeAreLive,73,949,2018
OllieSuave-007,234,6220,2013
Sfpsycho415,62,2068,2003
redryan64,61,3752,2009
julian-mumford,70,1240,2012
rebecca-ry,58,1101,2012
gradyharp,320,5570,2011
Rogue-32,83,4505,2005
AhmedSpielberg99,122,955,2018
freaky_dave,94,4834,2007
santiagocosme,66,749,2015
BandSAboutMovies,82,968,2019
Tcarts76,50,2063,2012
Mike_Devine,81,1048,2018
nycritic,98,1009,2005
toqtaqiya2,53,2072,2011
SmileysWorld,156,4877,2007
ldavis-2,56,6360,2006
zzhhhqing,102,84,2020
dfle3,126,5551,2011
akash_sebastian,86,1958,2013
destinylives52,64,645,2016
jaredpahl,65,1768,2017
kermitkid,95,1377,2019
Catherine_Grace_Zeh,79,3931,2005
sol1218,64,3572,2007
GOWBTW,133,5732,2007
Rendanlovell,63,2071,2015
philip_vanderveken,137,375,2004
dwpollar,140,7038,2005
vailsy,63,5390,2009
craig-hopton,80,1752,2014
josh_lambert1991,169,1407,2018
MrDHWong,121,1610,2017
WriterDave,144,4048,2005
kgprophet,119,6489,2010
Ben_Cheshire,64,4340,2004
MovieGuy109,105,391,2011
movieguy1021,129,933,2003
siderite,332,5512,2012
ja_kitty_71,59,3252,2009
tankace,103,569,2016
tubby1,69,2393,2009
RIK-22,69,7519,2004
bandw,81,5833,2009
cat_ranchero,91,559,2012
dpolwatte,78,968,2018
jaredmobarak,165,1257,2007
Agent10,175,4076,2002
nancyldraper,69,638,2018
palavitsinis,61,791,2015
dobbin-4,68,2752,2007
dfa120374,75,1235,2015
mistoppi,70,1032,2016
calspers,61,423,2019
robsta23,90,405,2015
theshadow908,106,1045,2006
MovieAddict2016,381,5759,2004
Sparrowmaniac,53,2048,2006
ghost_dog86,74,2256,2012
Boyo-2,138,3411,2000
jpschapira,131,2212,2006
lucasversantvoort,62,223,2015
scottshak_111,104,2905,2014
sharky_55,138,1872,2015
Ramascreen,66,3468,2014
alexpitt-345-971699,61,176,2020
Darkside-Reviewer,77,477,2019
Irishchatter,142,1899,2015
doctorsmoothlove,53,4153,2009
westsideschl,57,3040,2017
raypdaley182,103,2506,2006
Zbigniew_Krycsiwiki,71,5366,2014
movieman_kev,88,4762,2005
Horror-yo,95,2970,2015
kannibalcorpsegrinder,73,3227,2014
MF210,79,4983,2003
10sion,70,370,2019
dee.reid,281,7046,2007
Likes_Ninjas90,140,2469,2012
moviexclusive,108,3082,2012
pfgpowell-1,89,4632,2011
theterminator-92378,56,786,2017
honorhorror,76,2167,2008
gab-14712,69,1761,2017
brando647,273,4511,2011
Indy-52,79,1149,2000
mattkratz,212,7222,2008
Chris Knipp,154,5514,2006
dbborroughs,237,3041,2007
MattBrady099,74,782,2014
Benjamin-M-Weilert,192,428,2019
XweAponX,101,6260,2012
avik-basu1889,62,1206,2015
justinwfirestone,73,1669,2017
ArtVandelayImporterExporter,52,1382,2018
Cirene404,74,219,2019
arthera09,75,2832,2008
SnakesOnAnAfricanPlain,90,2744,2011
blairgallop7,58,963,2007
dfranzen70,349,7150,2008
Troy_Campbell,253,3630,2013
film_riot,56,414,2006
room102,80,6684,2014
saadgkhan,91,867,2011
undeaddt,95,895,2018
MR_Heraclius,222,33,2020
yoggwork,136,196,2019
fntstcplnt,103,304,2019
tomrito,61,6931,2004
TheBlueHairedLawyer,72,1344,2014
Aoi_kdr,66,420,2018
kylehodgdon,50,139,2009
stephendaxter,54,485,2014
Quietb-1,158,2866,2013
saytosandeep,80,1141,2013
bryank-04844,99,653,2015
ProjectAnomaly,98,334,2019
TheMan3051,73,414,2002
Movie Nuttball,121,1600,2003
Flagrant-Baronessa,127,1126,2006
rebeljenn,137,1098,2005
Spondonman,86,5066,2012
KalKenobi83,213,2402,2015
Spuzzlightyear,55,5063,2006
evan_harvey,54,5306,2012
Muhammad_Rafeeq,155,160,2019
grumpy-3,68,6480,2009
Bravesfan17,63,1884,2011
ilovedolby,58,1340,2003
jrarichards,54,1761,2017
ronakkotian,54,379,2019
mgd_m,66,415,2019
wisewebwoman,78,6768,2006
davispittman,238,1266,2016
FilmFanatic03,57,938,2010
Coventry,168,6211,2008
Sirus_the_Virus,220,202,2009
malkane316,84,355,2004
tastyhotdogs,105,1435,2006
thekyles99,65,973,2010
come2whereimfrom,84,2443,2007
shawneofthedead,68,2056,2015
EmperorNortonII,90,2055,2003
Red-125,76,7339,2010
