username,0
rbn_lrk-1,Cluster 3
rbrb,Cluster 1
rbverhoef,Cluster 2
rcolgan,Cluster 1
rebecca-ry,Cluster 1
rebeljenn,Cluster 4
redkiwi,Cluster 3
redryan64,Cluster 2
refresh_daemon,Cluster 4
renegadeviking-271-528568,Cluster 3
revival05,Cluster 2
rgkarim,Cluster 1
richard-1787,Cluster 1
richieandsam,Cluster 1
rivertam26,Cluster 1
rmax304823,Cluster 4
robert-710-767167,Cluster 3
robert-temple-1,Cluster 1
robfollower,Cluster 3
robsta23,Cluster 1
rockman182,Cluster 1
roedyg,Cluster 1
ronakkotian,Cluster 1
rooee,Cluster 1
room102,Cluster 1
rosscinema,Cluster 3
rossrobinson,Cluster 2
rparham,Cluster 3
rubenm,Cluster 1
runamokprods,Cluster 1
russem31,Cluster 2
ryan_kuhn,Cluster 3
ryanskywalker-87402,Cluster 1
rzajac,Cluster 1
s3276169,Cluster 1
saadanathan,Cluster 3
saadgkhan,Cluster 1
saarvardi,Cluster 1
sakram,Cluster 1
sam_smithreview,Cluster 3
samyaksambuddha,Cluster 1
sandnair87,Cluster 1
santiagocosme,Cluster 1
saraccan,Cluster 1
sarastro7,Cluster 3
sashank_kini-1,Cluster 3
sauravjoshi85,Cluster 3
saytosandeep,Cluster 1
sbweightman,Cluster 1
scb_coldsteel,Cluster 1
schroeder-gustavo,Cluster 3
scottshak_111,Cluster 1
screenman,Cluster 4
sddavis63,Cluster 4
seaview1,Cluster 1
seawalker,Cluster 1
secondtake,Cluster 1
secretzfan,Cluster 1
sergelamarche,Cluster 1
shadowman123,Cluster 3
shakercoola,Cluster 1
shanfloyd,Cluster 2
sharky_55,Cluster 5
shawneofthedead,Cluster 1
shiguangmimi,Cluster 1
siderite,Cluster 1
skepticskeptical,Cluster 1
skybrick736,Cluster 3
slightlymad22,Cluster 3
slokes,Cluster 2
smakawhat,Cluster 3
smatysia,Cluster 4
sme_no_densetsu,Cluster 3
socrates99,Cluster 1
socratesadamo,Cluster 3
sol1218,Cluster 2
southdavid,Cluster 1
squirrel_burst,Cluster 1
srdjan_veljkovic,Cluster 1
sreeragmeppadath,Cluster 1
sstrunks-05245,Cluster 1
ssvikas,Cluster 2
st-shot,Cluster 1
stamper,Cluster 5
statuskuo,Cluster 1
stensson,Cluster 1
stephendaxter,Cluster 1
sterlinrivera-2000,Cluster 3
stevendbeard,Cluster 1
stevenrotherforth,Cluster 1
stevetseitz,Cluster 3
stonedraim,Cluster 1
stormhawk2020,Cluster 4
strike-1995,Cluster 3
strong-122-478885,Cluster 3
studioAT,Cluster 3
subxerogravity,Cluster 1
sunznc,Cluster 1
supertom-3,Cluster 3
suri_ramneek-2,Cluster 3
swilliky,Cluster 1
t-viktor212,Cluster 1
tabuno,Cluster 1
tadpole-596-918256,Cluster 1
tankace,Cluster 3
tastyhotdogs,Cluster 1
tavm,Cluster 1
taylorkingston,Cluster 3
tbills2,Cluster 3
tburke85,Cluster 3
tdrish,Cluster 3
teh_mode,Cluster 1
tgchan,Cluster 1
the-movie-guy,Cluster 1
thebrandedswordsman-34028,Cluster 1
thebricks,Cluster 1
theinaniloquent,Cluster 3
thekarmicnomad,Cluster 1
thekyles99,Cluster 1
themadmovieman,Cluster 1
thepriceofpayne,Cluster 1
theshadow908,Cluster 2
thesouthfamily2-552-707097,Cluster 2
theterminator-92378,Cluster 2
thewillt08,Cluster 1
thinker1691,Cluster 1
thomasjay-2201,Cluster 1
tinovalkki,Cluster 1
tjgoalie13,Cluster 1
tnrcooper,Cluster 1
tomgillespie2002,Cluster 1
tomimt,Cluster 3
tomrito,Cluster 2
tomsview,Cluster 1
tonypeacock-1,Cluster 2
toqtaqiya2,Cluster 1
trashgang,Cluster 1
tributarystu,Cluster 4
triple8,Cluster 4
troy-manatunga,Cluster 1
troyputland,Cluster 1
trublu215,Cluster 1
truemythmedia,Cluster 3
tubby1,Cluster 1
undeaddt,Cluster 1
utgard14,Cluster 4
vailsy,Cluster 1
valadas,Cluster 1
valleyjohn,Cluster 1
vengeance20,Cluster 1
videorama-759-859391,Cluster 3
view_and_review,Cluster 3
vincentlynch-moonoi,Cluster 1
vip_ebriega,Cluster 3
virek213,Cluster 2
virindra,Cluster 1
vishaal811,Cluster 1
vistheindian,Cluster 1
vitaleralphlouis,Cluster 1
vithiet,Cluster 1
vostf,Cluster 1
waynegavin1,Cluster 2
werefox08,Cluster 2
wes-connors,Cluster 5
westsideschl,Cluster 1
whpratt1,Cluster 5
willcundallreview,Cluster 3
williampsamuel,Cluster 1
winner55,Cluster 2
wisemantonofski,Cluster 3
wisewebwoman,Cluster 1
witster18,Cluster 1
writers_reign,Cluster 1
wwe7961,Cluster 3
x-54313,Cluster 1
xredgarnetx,Cluster 4
yashrajs536,Cluster 1
yasir619,Cluster 2
yoggwork,Cluster 1
youthandyoungmanhood,Cluster 2
yuzou-45815,Cluster 1
zeekwunlau,Cluster 1
zetes,Cluster 1
zhyarTheChosen,Cluster 3
zkonedog,Cluster 3
zlx_zjlq,Cluster 1
zzhhhqing,Cluster 2
