username,cluster,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6
CharltonBoy,Cluster 3,redkiwi,gbheron,FlickJunkie-2,AKS-6,chrisbrown6453,Rammstein-2
Chris Knipp,Cluster 3,jaredmobarak,fwomp,jaybob,dbborroughs,DonFishies,come2whereimfrom
Chris_Docker,Cluster 3,iohefy-2,WriterDave,stensson,jpschapira,lastliberal,Rogue-32
ChristianUnchained,Cluster 3,seaview1,Ryan_MYeah,kdnor2011,nickmesafilms,achyutaghosh,Al_The_Strange
Christian_Dimartino,Cluster 3,Ryan_MYeah,nickmesafilms,SnakesOnAnAfricanPlain,jonnyfendi,DICK STEEL,julian-mumford
Christopher_Reid,Cluster 3,coasterdude44,Cirene404,Tehmeh,Spike-Washington,Dragonsouls,tankace
Chuck-149,Cluster 3,johnmschofield,gab-14712,Kubris,krational66,f-57307,h-28658
CineCritic2517,Cluster 3,CountZero313,jake-law123,Eumenides_0,ciscokid1970,braddugg,Philby-3
CineMuseFilms,Cluster 1,paul-allaer,brankovranjkovic,bob-the-movie-man,dave-mcclain,subxerogravity,rockman182
Cineanalyst,Cluster 1,Alexander_Blanchett,kjproulx,henry8-3,jackgdemoss,cardsrock,joelwatchesmovies
CinemaSerf,Cluster 1,Alexander_Blanchett,kjproulx,henry8-3,arfdawg-1,allanmichael30,Mike_Devine
CinematicInceptions,Cluster 3,agmoldham,Takethispunch,miguelneto-74936,cdjh-81125,Mr-Fusion,zeekwunlau
Cirene404,Cluster 3,freewillyfan,WeAreLive,fernandoschiavi,ryanskywalker-87402,thepriceofpayne,bhernandez2216
ClaytonDavis,Cluster 1,cultfilmfan,Turfseer,meeza,howard.schumann,aharmas,blanbrn
Cocacolaguy912-2,Cluster 3,raphaklopper,hemant_balz,illbebackreviews,bobsgrock,RCWjr,wwe7961
Cosmoeticadotcom,Cluster 3,rainking_es,WriterDave,nycritic,majikstl,galileo3,jotix100
CountZero313,Cluster 3,Philby-3,stensson,EUyeshima,gelman@attglobal.net,paudie,CineCritic2517
Coventry,Cluster 3,kannibalcorpsegrinder,poolandrews,atinder,BA_Harrison,drownnnsoda,The_Void
Coxer99,Cluster 3,gcd70,gab-14712,AaronCapenBanner,Steffi_P,SmileysWorld,Spleen
CrassActionHero,Cluster 3,Movie Nuttball,Elswet,FilmFanInTheHouse,DarthBill,TheHande,raypdaley182
Cristi_Ciopron,Cluster 3,dfa120374,kgprophet,poe426,caspian1978,vailsy,Tehmeh
CubsandCulture,Cluster 1,andrewroy-04316,MrDHWong,brankovranjkovic,Alexander_Blanchett,kjproulx,TopDawgCritic
CuriosityKilledShawn,Cluster 3,dee.reid,Anonymous_Maxine,vip_ebriega,mjw2305,hu675,Aaron1375
DICK STEEL,Cluster 3,Buddy-51,dfranzen70,dbborroughs,DonFishies,EUyeshima,fwomp
DJAkin,Cluster 3,MichaelMargetis,EvLauster,nobbytatoes,dfranzen70,mstomaso,DonFishies
DKosty123,Cluster 3,agmoldham,Mr-Fusion,brando647,siderite,pyrocitor,The-Sarkologist
Dan1863Sickles,Cluster 1,maurice_yacowar,proud_luddite,trublu215,MovieCriticOnline,cliftonofun,stevendbeard
Danny_G13,Cluster 3,f-57307,Mnemosyne15,Horror-yo,Kubris,Jacques98,brianberta
Danusha_Goska,Cluster 1,gradyharp,edwagreen,cultfilmfan,meeza,ClaytonDavis,Turfseer
DareDevilKid,Cluster 1,ArchonCinemaReviews,RevRonster,vistheindian,abouhelier-r,James_De_Bello,bryank-04844
DarkVulcan29,Cluster 1,Troy_Campbell,nogodnomasters,Hellmant,capone666,alindsay-al,Floated2
Darkside-Reviewer,Cluster 3,Cirene404,morganstephens512,freewillyfan,bhernandez2216,theterminator-92378,ivo-cobra8
DarthBill,Cluster 3,TheHande,Movie Nuttball,gigan-92,vip_ebriega,SonicStuart,jerekra
DarthVoorhees,Cluster 3,brando647,Prichards12345,BA_Harrison,DKosty123,jacobjohntaylor1,dfle3
Darth_Osmosis,Cluster 3,Takethispunch,Johnny-the-Film-Sentinel-2187,gwnightscream,Amyth47,rachelrose-87356,zeekwunlau
DavidSim240183,Cluster 3,mjw2305,Stampsfightclub,MovieAddict2016,Sirus_the_Virus,vip_ebriega,Elswet
DavidYZ,Cluster 3,itamarscomix,Red-Barracuda,jhaggardjr,illbebackreviews,triple8,Sandcooler
David_Frames,Cluster 3,jerekra,russem31,waynegavin1,nobbytatoes,joestank15,raypdaley182
Deckard-16,Cluster 3,seaview1,cdjh-81125,raphaklopper,hemant_balz,The_Core,johnnymacbest
DeeNine-2,Cluster 3,h-28658,WriterDave,galileo3,khanbaliq2,Boyo-2,=G=
Didier-Becu,Cluster 3,Rammstein-2,CharltonBoy,FrankBooth_DeLarge,emfern13,baumer,len-21
Dockelektro,Cluster 3,emfern13,Spanner-2,dbdumonteil,Sfpsycho415,OriginalMovieBuff21,PatrynXX
DonFishies,Cluster 3,fwomp,DICK STEEL,dbborroughs,Bunuel1976,LazySod,jaredmobarak
Doylenf,Cluster 3,filipemanuelneto,moonspinner55,johnnyboyz,jzappa,kenjha,MaxBorg89
Dr_Coulardeau,Cluster 3,jdkraus,filipemanuelneto,sme_no_densetsu,kenjha,Theo Robertson,lastliberal
Dragonsouls,Cluster 3,fernandoschiavi,XweAponX,WeAreLive,KalKenobi83,drawlife,Johnny-the-Film-Sentinel-2187
DunnDeeDaGreat,Cluster 3,Agent10,CharltonBoy,LebowskiT1000,Movie Nuttball,gbheron,stamper
EUyeshima,Cluster 3,DICK STEEL,Buddy-51,DonFishies,fwomp,stensson,Philby-3
Ed-Shullivan,Cluster 1,Alexander_Blanchett,brankovranjkovic,joshbarton15,scb_coldsteel,kz917-1,kjproulx
Edvis-1997,Cluster 3,sbweightman,Genti22,Gresh854,ericstevenson,popculturethoughts,thepriceofpayne
EijnarAmadeus,Cluster 3,MaxBorg89,johnnyboyz,Sirus_the_Virus,Anonymous_Maxine,sme_no_densetsu,FilmFanInTheHouse
Electrified_Voltage,Cluster 3,Elswet,FilmFanInTheHouse,Sirus_the_Virus,vip_ebriega,robert-710-767167,MovieAddict2016
ElijahCSkuggs,Cluster 3,kevin_crighton,fertilecelluloid,Jacques98,jemps918,jaredmobarak,Scars_Remain
Elswet,Cluster 3,vip_ebriega,Stampsfightclub,Aaron1375,Movie Nuttball,mjw2305,Sirus_the_Virus
EmmettvanHalm,Cluster 3,sbweightman,jamiedarlow-37510,ronakkotian,Lily_hoho,zlx_zjlq,J_Batek_II
EmperorNortonII,Cluster 3,patrick_dunne,rosscinema,Lady_Targaryen,noralee,russem31,supertom-3
Enchorde,Cluster 3,dbborroughs,Buddy-51,dunmore_ego,dfranzen70,moviewizguy,jon.h.ochiai
Endless_01,Cluster 1,Alexander_Blanchett,lojitsu,Mike_Devine,RussHog,joshbarton15,rockman182
Equalizer16,Cluster 1,autisticreviewers,themadmovieman,ctowyi,cliftonofun,MrDHWong,danielharden
Eternality,Cluster 3,colinrgeorge,kenjha,sme_no_densetsu,jzappa,gigan-92,jdkraus
EthanBJones_03,Cluster 2,lisafordeay,tavm,tabuno,studioAT,3xHCCH,Lejink
Eumenides_0,Cluster 3,kenjha,bobsgrock,Monotreme02,stensson,brianberta,CountZero313
EvLauster,Cluster 3,nobbytatoes,MichaelMargetis,christian123,anhedonia,xredgarnetx,The_Void
ExpendableMan,Cluster 3,teh_mode,Jay_Exiomo,raypdaley182,mstomaso,charchuk,LazySod
FairlyAnonymous,Cluster 3,japamo,jaemiewaters,ersinkdotcom,ericrnolan,dfa120374,osj2507
FallenEye,Cluster 1,subxerogravity,deloudelouvain,CANpatbuck3664,MattyAndAnnika,James_De_Bello,dave-mcclain
FeastMode,Cluster 1,Floated2,FlashCallahan,nogodnomasters,alindsay-al,DarkVulcan29,Hellmant
Fella_shibby,Cluster 3,drownnnsoda,trashgang,a_chinn,kannibalcorpsegrinder,Coventry,Woodyanders
Fields201,Cluster 3,Ryan_MYeah,evan_harvey,julian-mumford,matej-trkanjec-133-920386,Meven_Stoffat,SnakesOnAnAfricanPlain
Figgy66-915-598470,Cluster 1,RforFilm,bob-the-movie-man,James_De_Bello,abouhelier-r,MrDHWong,stevendbeard
FilmCriticLalitRao,Cluster 3,Red-Barracuda,DeeNine-2,Mnemosyne15,brianberta,g-96059,dj_xand325
FilmFanInTheHouse,Cluster 3,theshadow908,vip_ebriega,Sirus_the_Virus,mjw2305,Elswet,EijnarAmadeus
FilmFanatic03,Cluster 3,Ryan_MYeah,blacklist-1,Meven_Stoffat,SnakesOnAnAfricanPlain,Jonathon_Natsis,seaview1
FilmMan47,Cluster 3,zhyarTheChosen,deatman9,ivo-cobra8,Angelus2,Prashast_Singh,BA_Harrison
FilmMuscle,Cluster 1,RevRonster,ArchonCinemaReviews,vistheindian,bryank-04844,billygoat1071,bravesfanc
FilmOtaku,Cluster 3,rosscinema,movieguy1021,OriginalMovieBuff21,wes-connors,supertom-3,Kubris
Flagrant-Baronessa,Cluster 3,MichaelMargetis,Chris_Docker,jpschapira,PersianPlaya408,nycritic,The_Void
FlashCallahan,Cluster 1,Hellmant,nogodnomasters,Floated2,capone666,FeastMode,Troy_Campbell
FlickJunkie-2,Cluster 3,CharltonBoy,Movie-12,redkiwi,gbheron,chrisbrown6453,jhclues
Floated2,Cluster 1,DarkVulcan29,FlashCallahan,FeastMode,alindsay-al,nogodnomasters,Screen_Blitz
Fluke_Skywalker,Cluster 1,alindsay-al,stevendbeard,Anurag-Shetty,ironhorse_iv,Troy_Campbell,leonblackwood
FrankBooth_DeLarge,Cluster 3,Angry_Arguer,thesouthfamily2-552-707097,illbebackreviews,wwe7961,patrick_dunne,gcd70
GOWBTW,Cluster 3,mjw2305,dee.reid,hu675,gcd70,Aaron1375,BA_Harrison
Galina_movie_fan,Cluster 3,EUyeshima,WriterDave,stensson,Buddy-51,jzappa,Philby-3
Geeky Randy,Cluster 3,illbebackreviews,raphaklopper,jdkraus,Mr-Fusion,brando647,Bored_Dragon
Genti22,Cluster 3,secretzfan,sbweightman,Edvis-1997,ericrnolan,Johnny-the-Film-Sentinel-2187,srdjan_veljkovic
GeorgeRoots,Cluster 3,gigan-92,miguelneto-74936,AaronCapenBanner,ShootingShark,dee.reid,johnnyboyz
Gideon24,Cluster 3,barrys82,Sylviastel,DavidYZ,jcbutthead86,Sandcooler,tnrcooper
GiraffeDoor,Cluster 3,BA_Harrison,Coventry,jacobjohntaylor1,davispittman,filipemanuelneto,preppy-3
GirishGowda,Cluster 3,p-stepien,colinrgeorge,rebecca-ry,callanvass,virindra,MovieZoo
Gresh854,Cluster 3,KeremUlucay,sbweightman,Johnny-the-Film-Sentinel-2187,Edvis-1997,thepriceofpayne,doomedmac
Gubby-Allen,Cluster 3,jhclues,AKS-6,m_madhu,I_Am_The_Taylrus,johnmschofield,CharltonBoy
HelenMary,Cluster 1,TheSquiss,Bruce722,billygoat1071,cultfilmfreaksdotcom,Sergeant_Tibbs,JohnRayPeterson
Hellmant,Cluster 1,capone666,nogodnomasters,Troy_Campbell,cosmo_tiger,jadepietro,estebangonzalez10
Hey_Sweden,Cluster 3,BA_Harrison,hitchcockthelegend,Coventry,disdressed12,gwnightscream,ma-cortes
Hollywood_Yoda,Cluster 3,malmsteneino,kdnor2011,robert-710-767167,suri_ramneek-2,rbn_lrk-1,illbebackreviews
Horror-yo,Cluster 3,f-57307,Kubris,krational66,Takethispunch,sme_no_densetsu,AaronCapenBanner
Horst_In_Translation,Cluster 1,ThomasDrufke,Hellmant,alindsay-al,jadepietro,nogodnomasters,drqshadow-reviews
HotToastyRag,Cluster 3,leplatypus,AaronCapenBanner,moonspinner55,dy158,MaxBorg89,Steffi_P
Howlin Wolf,Cluster 3,MovieAddict2016,gcd70,mjw2305,Theo Robertson,PredragReviews,bevo-13678
I_Am_The_Taylrus,Cluster 3,jhaggardjr,vip_ebriega,robert-710-767167,TalesfromTheCryptfan,patrick_dunne,Elswet
I_Love_Spielberg,Cluster 3,matlefebvre20,gigan-92,departed07,raphaklopper,Barky44,stevetseitz
Imdbidia,Cluster 3,Jonny_Numb,Animany94,socrates99,ProjectAnomaly,Matt_Layden,jaredmobarak
Indy-52,Cluster 3,emfern13,claudonio,jhaggardjr,Rammstein-2,SKG-2,revival05
InlyCii,Cluster 3,g-96059,r-48240,Mnemosyne15,f-57307,zzhhhqing,krational66
Irishchatter,Cluster 1,blanbrn,ironhorse_iv,lasttimeisaw,Quietb-1,Horst_In_Translation,capone666
Isaac5855,Cluster 3,tastyhotdogs,jpschapira,blairgallop7,jts0405,KUAlum26,EUyeshima
J_Batek_II,Cluster 3,zlx_zjlq,AvidClimber,EmmettvanHalm,kgprophet,cdjh-81125,The Grand Master
Jack the Ripper1888,Cluster 3,CharltonBoy,chrisbrown6453,La Gremlin,jhaggardjr,gbheron,len-21
Jackpollins,Cluster 3,colinrgeorge,andro-dolic,barrys82,honorhorror,SnakesOnAnAfricanPlain,ajs-10
Jacques98,Cluster 3,poolandrews,emperor_bender,Jonny_Numb,Coventry,LoneWolfAndCub,atinder
JakeBrinkman,Cluster 3,sbweightman,secretzfan,WeAreLive,iguth,freewillyfan,ericstevenson
JamesHitchcock,Cluster 3,filipemanuelneto,moonspinner55,Theo Robertson,sme_no_densetsu,hitchcockthelegend,kenjha
James_De_Bello,Cluster 1,abouhelier-r,RforFilm,scottshak_111,ArchonCinemaReviews,vistheindian,freshclean-66-318608
Jared_Andrews,Cluster 1,Alexander_Blanchett,scb_coldsteel,kjproulx,brankovranjkovic,rockman182,thebricks
JayPatton88,Cluster 3,Cirene404,waynegavin1,matej-trkanjec-133-920386,WeAreLive,JoeB131,freewillyfan
Jay_Exiomo,Cluster 3,LazySod,fwomp,jemps918,jaredmobarak,DonFishies,joestank15
JaydoDre,Cluster 3,khanbaliq2,krational66,zeekwunlau,johnmschofield,f-57307,rachelrose-87356
Jeremy_Urquhart,Cluster 3,raphaklopper,zzhhhqing,InlyCii,CelluRob,Mnemosyne15,illbebackreviews
Jerghal,Cluster 1,RevRonster,bryank-04844,leonblackwood,quincytheodore,ArchonCinemaReviews,billygoat1071
Jerique,Cluster 3,colinrgeorge,jonnyfendi,dvc5159,blacklist-1,tburke85,ajs-10
Jithindurden,Cluster 1,Lewis_Heather787,CANpatbuck3664,kz917-1,kjproulx,austin0731,scb_coldsteel
Jo_Blo_Movie_Critic,Cluster 1,kjproulx,Alexander_Blanchett,kz917-1,brankovranjkovic,MrDHWong,southdavid
JoeB131,Cluster 3,XweAponX,Prichards12345,ryanskywalker-87402,judywalker2,fernandoschiavi,JayPatton88
JoeKarlosi,Cluster 3,The_Amazing_Spy_Rises,raypdaley182,tburke85,theshadow908,joestank15,jpschapira
JohnRayPeterson,Cluster 1,Treyroo,napierslogs,bob-rutzel-1,HelenMary,martinrobertson300482,dar0417
Johnny-the-Film-Sentinel-2187,Cluster 3,sbweightman,KalKenobi83,justin-fencsak,malmsteneino,fernandoschiavi,WeAreLive
Jonathon_Natsis,Cluster 3,Ryan_MYeah,jonnyfendi,SnakesOnAnAfricanPlain,Meven_Stoffat,Christian_Dimartino,FilmFanatic03
Jonny_Numb,Cluster 3,jzappa,DonFishies,charchuk,Polaris_DiB,dbborroughs,Matt_Layden
JoshtheGiant,Cluster 3,MichaelMargetis,SeminolePhenom,noralee,WriterDave,majikstl,theshadow908
K3nzit,Cluster 3,Ryan_MYeah,DKosty123,agmoldham,miguelneto-74936,siderite,CinematicInceptions
KUAlum26,Cluster 3,jpschapira,lastliberal,DonFishies,jaredmobarak,charchuk,Buddy-51
KalKenobi83,Cluster 3,The-Sarkologist,Mr-Fusion,paul_haakonsen,Aaron1375,siderite,Johnny-the-Film-Sentinel-2187
Karl Self,Cluster 3,Chris Knipp,CineCritic2517,andro-dolic,gary-444,hemant_balz,jemps918
Kdosda_Hegen,Cluster 3,andrewchristianjr,Theo Robertson,filipemanuelneto,sme_no_densetsu,Amyth47,Takethispunch
KeremUlucay,Cluster 3,sbweightman,thepriceofpayne,WeAreLive,freewillyfan,Cirene404,Wisesoldierthe6
KnightsofNi11,Cluster 3,Christian_Dimartino,zetes,Ryan_MYeah,Theo Robertson,SnakesOnAnAfricanPlain,brando647
Kubris,Cluster 3,f-57307,krational66,Mnemosyne15,zzhhhqing,Takethispunch,rachelrose-87356
L_Copa,Cluster 3,yuzou-45815,MrPupkin,lark40,InlyCii,yashrajs536,andrewchristianjr
La Gremlin,Cluster 3,chrisbrown6453,Spleen,smakawhat,Movie-12,CharltonBoy,gbheron
Laakbaar,Cluster 1,billygoat1071,cosmo_tiger,TheSquiss,jadepietro,Troy_Campbell,Hellmant
Lady_Targaryen,Cluster 3,EmperorNortonII,fjhuerta-2,Elswet,rebeljenn,stamper,Spleen
LazySod,Cluster 3,Jay_Exiomo,DonFishies,jemps918,fwomp,dbborroughs,barrys82
LebowskiT1000,Cluster 3,Agent10,DunnDeeDaGreat,chrisbrown6453,Movie Nuttball,La Gremlin,mjw2305
Lejink,Cluster 2,tabuno,tavm,3xHCCH,studioAT,lisafordeay,inkblot11
LeonardKniffel,Cluster 3,apararas,johnstonjames,mark.waltz,didi-5,datautisticgamer-74853,ja_kitty_71
Lewis_Heather787,Cluster 1,brankovranjkovic,Alexander_Blanchett,CANpatbuck3664,rockman182,msbreviews,justinwfirestone
Likes_Ninjas90,Cluster 1,Troy_Campbell,estebangonzalez10,bob-rutzel-1,Sergeant_Tibbs,Hellmant,TheSquiss
Lily_hoho,Cluster 3,zlx_zjlq,r-48240,InlyCii,zeekwunlau,h-28658,g-96059
LivingDog,Cluster 3,nobbytatoes,EmperorNortonII,Flagrant-Baronessa,supertom-3,TheNorthernMonkee,mstomaso
LloydBayer,Cluster 1,cosmo_tiger,jadepietro,Hellmant,davidgee,burlesonjesse5,Troy_Campbell
LoneWolfAndCub,Cluster 3,emperor_bender,Jacques98,jzappa,hu675,galileo3,Jonny_Numb
Luigi Di Pilla,Cluster 1,sddavis63,dromasca,davideo-2,antoniotierno,gradyharp,blanche-2
MBunge,Cluster 3,colinrgeorge,DonFishies,Jackpollins,MovieZoo,barrys82,DICK STEEL
MCMAYNERBERRY,Cluster 3,barrys82,fwomp,jemps918,joestank15,jaybob,dbborroughs
MF210,Cluster 3,emfern13,OriginalMovieBuff21,mjw2305,Angry_Arguer,departed07,Sfpsycho415
MGPT80,Cluster 3,stormhawk2020,pmtelefon,FilmFanInTheHouse,dobbin-4,mike48128,rebeljenn
MJB784,Cluster 1,MrDHWong,RforFilm,Anurag-Shetty,subxerogravity,gavinp9,bob-the-movie-man
MOscarbradley,Cluster 1,blanbrn,edwagreen,ClaytonDavis,writers_reign,gradyharp,meeza
MR_Heraclius,Cluster 1,alindsay-al,DarkVulcan29,FlashCallahan,Troy_Campbell,FeastMode,Hellmant
Macleanie,Cluster 3,Tyson14,Al_The_Strange,morganstephens512,KalKenobi83,dragokin,brando647
Majikat76,Cluster 2,Lejink,lisafordeay,studioAT,tavm,EthanBJones_03,luke-a-mcgowan
Maleplatypus,Cluster 1,Troy_Campbell,jadepietro,cosmo_tiger,bob-the-movie-man,Anurag-Shetty,justinwfirestone
Maniac-9,Cluster 3,raphaklopper,illbebackreviews,sme_no_densetsu,jcbutthead86,khanbaliq2,ivo-cobra8
Manthorpe,Cluster 3,emperor_bender,gcd70,Red-Barracuda,AKS-6,dworldeater,malkane316
Marc_Israel_365,Cluster 3,Takethispunch,kenjha,h-28658,zeekwunlau,rachelrose-87356,krational66
MartianOctocretr5,Cluster 3,vip_ebriega,moviewizguy,dbborroughs,disdressed12,DICK STEEL,raypdaley182
Marwan-Bob,Cluster 1,justinwfirestone,cliftonofun,thebricks,garethcrook,peefyn,subxerogravity
Marx_Bros_Fan86,Cluster 3,Tyson14,fernandoschiavi,cdjh-81125,jerekra,morganstephens512,tankace
